test, rrt iteration, number of waypoints, distance to goal, number of waypoints opti, distance to goal opti
1,923,27,1765.08,19,1394.61
1,924,27,1765.08,19,1394.61
1,925,27,1765.08,19,1394.61
1,926,27,1765.08,19,1394.61
1,927,27,1765.08,19,1394.61
1,928,27,1765.08,19,1394.61
1,929,27,1765.08,19,1394.61
1,930,27,1765.08,19,1394.61
1,931,27,1765.08,19,1394.61
1,932,27,1765.08,19,1394.61
1,933,27,1765.08,19,1394.28
1,934,27,1765.08,19,1394.28
1,935,27,1765.08,19,1394.28
1,936,27,1765.08,19,1394.28
1,937,27,1765.08,19,1394.28
1,938,27,1765.08,19,1394.28
1,939,27,1765.08,19,1394.28
1,940,27,1765.08,19,1394.28
1,941,27,1765.08,19,1394.28
1,942,27,1765.08,20,1394.28
1,943,27,1765.08,20,1394.28
1,944,27,1765.08,20,1394.28
1,945,27,1765.08,20,1394.28
1,946,27,1765.08,20,1394.28
1,947,27,1765.08,20,1394.28
1,948,27,1765.08,20,1394.28
1,949,27,1765.08,20,1393.11
1,950,27,1765.08,20,1393.11
1,951,27,1765.08,20,1393.11
1,952,27,1765.08,20,1393.11
1,953,27,1765.08,20,1393.11
1,954,27,1765.08,20,1393.11
1,955,27,1765.08,20,1393.11
1,956,27,1765.08,20,1393.11
1,957,27,1763.69,20,1393.11
1,958,27,1763.69,20,1393.11
1,959,27,1763.69,20,1393.11
1,960,27,1763.69,20,1393.11
1,961,27,1763.69,20,1393.11
1,962,27,1763.69,20,1393.11
1,963,27,1763.69,20,1393.11
1,964,27,1763.69,20,1393.11
1,965,27,1763.69,20,1393.11
1,966,27,1763.69,20,1389.09
1,967,27,1763.69,20,1389.09
1,968,27,1763.69,20,1389.09
1,969,27,1763.69,20,1389.09
1,970,27,1763.69,20,1389.09
1,971,27,1763.69,20,1389.09
1,972,25,1763.69,20,1389.09
1,973,25,1763.69,20,1389.09
1,974,25,1763.69,20,1389.09
1,975,25,1763.69,20,1389.09
1,976,25,1763.69,20,1389.09
1,977,25,1763.69,20,1389.09
1,978,25,1763.69,20,1389.09
1,979,25,1763.69,20,1389.09
1,980,25,1763.69,20,1389.09
1,981,25,1763.69,20,1389.09
1,982,25,1763.69,20,1389.09
1,983,25,1763.69,20,1388.35
1,984,25,1763.69,20,1388.35
1,985,25,1763.69,20,1388.35
1,986,25,1763.69,20,1388.35
1,987,25,1763.69,20,1388.35
1,988,25,1763.69,20,1388.35
1,989,25,1763.69,20,1388.35
1,990,25,1763.69,20,1388.35
1,991,25,1763.69,20,1388.35
1,992,25,1705.04,20,1388.35
1,993,25,1705.04,20,1388.25
1,994,25,1705.04,19,1388.25
1,995,25,1705.04,19,1388.25
1,996,25,1705.04,19,1388.25
1,997,25,1705.04,19,1388.25
1,998,25,1705.04,19,1388.25
1,999,25,1705.04,19,1388.25
1,1000,25,1705.04,19,1388.25
1,1001,25,1705.04,19,1388.25
1,1002,25,1705.04,19,1388.25
1,1003,25,1705.04,19,1388.25
1,1004,25,1705.04,19,1388.25
1,1005,25,1705.04,19,1388.25
1,1006,25,1705.04,19,1388.25
1,1007,25,1705.04,19,1388.25
1,1008,25,1705.04,19,1388.25
1,1009,25,1705.04,19,1388.25
1,1010,25,1705.04,19,1388.25
1,1011,25,1705.04,19,1388.25
1,1012,25,1705.04,19,1388.25
1,1013,25,1705.04,19,1388.25
1,1014,25,1705.04,19,1388.25
1,1015,25,1705.04,20,1388.25
1,1016,25,1705.04,20,1388.25
1,1017,25,1705.04,20,1388.25
1,1018,25,1705.04,20,1388.25
1,1019,25,1705.04,20,1388.25
1,1020,25,1705.04,20,1388.25
1,1021,25,1705.04,20,1388.25
1,1022,25,1705.04,20,1388.25
